_id,coll_name,coll_place,description,lat,long,object_name,object_number,os_gridref,priref,repro_ref,strat_type,strat_unit,taxonomy,url
8986,"Toghill, Peter",Grinshill,Microscope thin section made from a hand specimen of sandstone from Grinshill.,52.80242304,-2.71341569,Sandstone,G.20551.013,SJ5223,657179,G.20551.013a.jpg; G.20551.013b.jpg; G.20551.013c.jpg; G.20551.013d.jpg; G.20551.013e.jpg,Chronostratigraphy,Triassic Period,,https://data.nhm.ac.uk/media/ludlow:G.20551.013a.jpg; https://data.nhm.ac.uk/media/ludlow:G.20551.013b.jpg; https://data.nhm.ac.uk/media/ludlow:G.20551.013c.jpg; https://data.nhm.ac.uk/media/ludlow:G.20551.013d.jpg; https://data.nhm.ac.uk/media/ludlow:G.20551.013e.jpg
8044,"Chesshire, Dr J. S. I'A","Contin, Scotland.","A sample of coarse grained Gneiss, a regionally meatamorphosed rock, showing pronounced gneissose banding.Consisting of  mainly of quartz (glassy grey), feldspar (white/pink) and muscovite mica (silvery). The micas have separated out from the quartz/feldspar, to form distinct alternating , lighter and darker bands. Found near Contin, Scotland.",,,Gneiss,G.13238,unknown,56608,G.13238.jpg,,,Gneiss,https://data.nhm.ac.uk/media/ludlow:G.13238.jpg
9153,unknown,"Ticklerton Brook, Shropshire.","Fossil fragment of orthocone of the Silurian nautiloid cephalopod, Orthoceras bubundulatum. Found at Ticklerton Brook, Shropshire.",52.50541816,-2.76752912,Cephalopod,SHYMS: G/1977/0399.002,SO4890,663312,shyms_g_1977_0399.002.jpg,"Chronostratigraphy, Lithostratigraphy",Silurian Period; Coalbrookdale Formation,Orthoceras bubundulatum,https://data.nhm.ac.uk/media/ludlow:shyms_g_1977_0399.002.jpg
9052,unknown,Carlops,"Thin section of of an enstatite andesite found at Carlops, Peebleshire.",55.78099114,-3.340856,Igneous Rock,G.20596.002,NT1655,657495,G.20596.002a.jpg; G.20596.002b.jpg; G.20596.002c.jpg; G.20596.002d.jpg; G.20596.002e.jpg,,,Andesite,https://data.nhm.ac.uk/media/ludlow:G.20596.002a.jpg; https://data.nhm.ac.uk/media/ludlow:G.20596.002b.jpg; https://data.nhm.ac.uk/media/ludlow:G.20596.002c.jpg; https://data.nhm.ac.uk/media/ludlow:G.20596.002d.jpg; https://data.nhm.ac.uk/media/ludlow:G.20596.002e.jpg
7030,"Baker, H.; Norton, J.",Llanfawr Quarry,"Fossilised remains of cephalon of the Ordovician trilobites Platycalymene duplicata (a) and Trinucleus fimbriatus (b) found at Llanfawr Quarry, Llandrindod Wells.",52.23914461,-3.37802026,Trilobite,G.04057,SO0661,52165,G.04057.jpg,Chronostratigraphy,Ordovician Period; Llandeilian Stage,Platycalymene duplicata; Trinucleus fimbriatus,https://data.nhm.ac.uk/media/ludlow:G.04057.jpg
8658,"Norton, W. J.",Unknown,Fossilised shell remains of the Jurassic bivalve Pleuromya costata.,,,BIVALVE,G.20188.002,unknown,660567,G.20188.002.jpg,Chronostratigraphy,Jurassic Period,Pleuromya costata,https://data.nhm.ac.uk/media/ludlow:G.20188.002.jpg
9075,unknown,Unknown,"Cream-brown tufa, a freshwater carbonate, coating plant material.",,,Calcite,M.00176,unknown,49817,M.00176.jpg,,,Calcite; CARBONATE,https://data.nhm.ac.uk/media/ludlow:M.00176.jpg
9182,unknown,"Weo Edge, Craven Arms.","Fossilised shell remains of the Silurian brachiopod, Pentamerus knighti (Sow.) Found at Craven Arms, Shropshire.",52.41470474,-2.88357396,Brachiopod,SHYMS: G/1977/0703.003,SO48,663468,shyms_g_1977_0703.003a.jpg; shyms_g_1977_0703.003b.jpg; shyms_g_1977_0703.003c.jpg; shyms_g_1977_0703.003d.jpg,"Chronostratigraphy, Lithostratigraphy",Silurian Period; Aymestry Limestone Member,Pentamerus knighti,https://data.nhm.ac.uk/media/ludlow:shyms_g_1977_0703.003a.jpg; https://data.nhm.ac.uk/media/ludlow:shyms_g_1977_0703.003b.jpg; https://data.nhm.ac.uk/media/ludlow:shyms_g_1977_0703.003c.jpg; https://data.nhm.ac.uk/media/ludlow:shyms_g_1977_0703.003d.jpg
9077,unknown,Unknown,"A sample of polished sedimentary limestone breccia showing a pale brown, polycrystalline calcite infilling angular grey limestone.",,,Limestone Breccia,M.00185.001,unknown,49826,M.00185.001a.jpg; M.00185.001b.jpg,,,Breccia,https://data.nhm.ac.uk/media/ludlow:M.00185.001a.jpg; https://data.nhm.ac.uk/media/ludlow:M.00185.001b.jpg
7036,unknown,Much Wenlock Borough,"Fossilised shell remains of the Silurian gastropod Poleumita centrifugus found in the Much Wenlock district, Shropshire.",52.5963269,-2.59195583,Gastropod,G.04075,SJ60,57126,G.04075.jpg,"Chronostratigraphy, Lithostratigraphy",Silurian Period; Much Wenlock Limestone Formation,Poleumita centrifugus,https://data.nhm.ac.uk/media/ludlow:G.04075.jpg
9203,unknown,"Jonathan's Hollow, All Stretton","Trace fossil, Arenicolities, possibily fossilised burrow tracts. Found at Jonathans Hollow, All Stretton, Shropshire.",,,Trace fossil,SHYMS: G/1982/012,unknown,21251,shyms_g_1982_012.jpg,,,Arenicolities sp.,https://data.nhm.ac.uk/media/ludlow:shyms_g_1982_012.jpg
