fossil_id,description,object_name,strat_type,period,taxonomy,url
6800,"Fossilised remains of  the Ordovician trilobite Trinucleus fimbriatus found at Llanfawr quarry, Llandrindod Wells",Trilobite,Chronostratigraphy,Ordovician Period,Trinucleus fimbriatus,https://data.nhm.ac.uk/media/ludlow:G.02615.001.jpg
7195,Fossilised remains of pygidium of the Ordovician trilobite Ogyginus sp. found by Birmingham University Extra Mural Department at Meadowtown Quarry.,Trilobite,"Chronostratigraphy, Lithostratigraphy",Ordovician Period,Ogyginus sp.,https://data.nhm.ac.uk/media/ludlow:G.05895.jpg
6906,Fossilized remains of Devonian agnathan Pteraspis sp. found in Aston Hill Wood,Agnathan,Chronostratigraphy,Devonian Period,Pteraspis sp.,https://data.nhm.ac.uk/media/ludlow:G.03474.001.jpg
7082,"Fossilised remains of the Silurian brachiopod, Leptaena depressa found at Wren's Nest, Dudley",Brachiopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Leptaena depressa,https://data.nhm.ac.uk/media/ludlow:G.04521.jpg
7064,Fossilised shell remains of the Silurian brachiopod Lingula striata found at Upper Millichope.,Brachiopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Lingula striata,https://data.nhm.ac.uk/media/ludlow:G.04313.002.jpg
7179,"Fossilised fragments of a cephalon of the Silurian trilobite Dalmanities myops (K̦nig) showing glabella, eyes and genial spines. Found at Mortimer Forest.",Trilobite,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Dalmanites myops,https://data.nhm.ac.uk/media/ludlow:G.05609.001.jpg
6820,"Fossilised remains of the Silurian trilobite Phacops stokesi found at Upper Millichope, Shropshire.",Trilobite,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Phacops stokesi,https://data.nhm.ac.uk/media/ludlow:G.02871.jpg
7033,"Fossilised remains of the Ordovician trilobites Trinucleus fimbriatus and Platycalymene duplicata, found at Llanfawr Quarry, Llandrindod Wells",Trilobite,Chronostratigraphy,Ordovician Period,Platycalymene duplicata; Trinucleus fimbriatus,https://data.nhm.ac.uk/media/ludlow:G.04070.jpg
6753,Fossilised remains of phragmocone of the Silurian cephalopod Orthoceras ibex showing septa. Found at Bringewood.,Cephalopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Orthoceras ibex,https://data.nhm.ac.uk/media/ludlow:G.02056.001.jpg
6715,Fossilised shell remains of the Silurian brachiopod Atrypa orbicularis found at Leintwardine,Brachiopod,Chronostratigraphy,Silurian Period,Atrypa orbicularis,https://data.nhm.ac.uk/media/ludlow:G.01123.jpg
7010,"Fossilised remains of both valves of the Cretaceous Bivalve, Spondylus spinosus. The shell is equivalved and equilateral and the valves are attached at the umbo (dorsal) end, and gaping at the anterior margin.. The exterior ornament is made up of strong radial ribs, to which small tubercles are attached. Infilled with chalk.",BIVALVE,Chronostratigraphy,Cretaceous Period,Spondylus spinosus,https://data.nhm.ac.uk/media/ludlow:G.03883.jpg
7231,"Fossilised leaf fragments of the Carboniferous plants, Pecopteris sp. and Alethoptens sp. Found at Longden Common, Shropshire.",Plant,Chronostratigraphy,Carboniferous Period,Pecopteris sp,https://data.nhm.ac.uk/media/ludlow:G.06230.jpg
6919,Fossilised remains of the central section of the metacarpal bone of a deer from the Siwalik Hills of India.,Deer; Metacarpal,Chronostratigraphy,Cenozoic Era,Cervidae,https://data.nhm.ac.uk/media/ludlow:G.03556a.jpg; https://data.nhm.ac.uk/media/ludlow:G.03556b.jpg; https://data.nhm.ac.uk/media/ludlow:G.03556c.jpg; https://data.nhm.ac.uk/media/ludlow:G.03556d.jpg
6764,"Fossilized fragment of an extinct species of cephalopod, possibly Orthoceras sp. found at Whitcliffe, Ludlow. The specimen also contains fossilised fragments of Silurian brachiopod shells.",Cephalopod,Chronostratigraphy,Silurian Period,Orthoceras sp.,https://data.nhm.ac.uk/media/ludlow:G.02164.jpg
6722,"Fossilised remains of the Silurian cephalopod Kionoceras angulatum and bivalve Orthonota sp. found at Aymestry, Ludlow.",Cephalopod; BIVALVE,"Chronostratigraphy, Lithostratigraphy",Silurian Period,"Kionoceras angulatum (Wahlenberg, 1821); Orthonota sp.",https://data.nhm.ac.uk/media/ludlow:G.01465.jpg
7189,Fossilised remains of the Ordovician trilobite Ogygiocarella debuchii found at Meadowtown.,Trilobite,"Chronostratigraphy, Lithostratigraphy",Ordovician Period,Ogygiocarella debuchii,https://data.nhm.ac.uk/media/ludlow:G.05727.jpg
7232,"Fossilised remains of stem of the Carboniferous ' horsetail ', Calamites sp. Found at Longden Common, Shropshire.",Plant,Chronostratigraphy,Carboniferous Period,Calamites sp.,https://data.nhm.ac.uk/media/ludlow:G.06232.jpg
6927,Fossilised remains of the proximal end of a deer femur from the Siwalik Hills of India.,Deer; Femur,Chronostratigraphy,Cenozoic Era,Cervidae,https://data.nhm.ac.uk/media/ludlow:G.03566a.jpg; https://data.nhm.ac.uk/media/ludlow:G.03566b.jpg
7105,Fossilised shell remains of the Silurian brachiopod Strophonella euglypha.,Brachiopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Strophonella euglypha,https://data.nhm.ac.uk/media/ludlow:G.04760.jpg
7073,"Fo0ssilised fragment of guard of the Cretaceous belemnite, Belemnitella mucronata. The guard is conical in form and possesses a conical alveolus. Mounted on card with five other specimens.",Belemnite,Chronostratigraphy,Cretaceous Period,Belemnitella mucronata,https://data.nhm.ac.uk/media/ludlow:G.04425.004.jpg
7011,"Fossilised remains of a strongly ribbed, moderately evolute phragmocone of the Cretaceous ammonite, Euhoplites sp. A pronounced sulcus occurs on the venter and tubercles can be found both on the umbilical margin and the edges of the sulcus.",AMMONITE,Chronostratigraphy,Cretaceous Period,Euhoplites sp.,https://data.nhm.ac.uk/media/ludlow:G.03884.jpg
7235,"Fossilised leaf fronds of the Upper Carboniferous pteridosperm, Neuropteris sp. -  part one of two, of a fractured specimen",Plant,Chronostratigraphy,Carboniferous Period,Neuropteris sp.,https://data.nhm.ac.uk/media/ludlow:G.06239.001.jpg
7062,"Fossilised remains of pygidium, thorax and part of the cephalon of the Silurian trilobite, Tapinocalymene nodulosa. Found at Brimfield.",Trilobite,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Tapinocalymene nodulosa,https://data.nhm.ac.uk/media/ludlow:G.04301.jpg
6781,"Fossilised remains of fragment of the phragmacone of the Silurian orthocone cephalopod, Orthoceras ludense.",Cephalopod,Chronostratigraphy,Silurian Period,Orthoceras ludense,https://data.nhm.ac.uk/media/ludlow:G.02274a.jpg; https://data.nhm.ac.uk/media/ludlow:G.02274b.jpg
6969,"Fossilised section of stem of the Carboniferous Lycopod plant, Lepidodendron sp. showing leaf scars. Found at Highley Colliery.",Plant,Chronostratigraphy,Carboniferous Period,Lepidodendron sp.,https://data.nhm.ac.uk/media/ludlow:G.03686.jpg
7210,Fossilised scales of the Devonian lung fish Dipterus sp.,Fish,"Chronostratigraphy, Lithostratigraphy",Devonian Period,Dipterus sp.,https://data.nhm.ac.uk/media/ludlow:G.06108a.jpg; https://data.nhm.ac.uk/media/ludlow:G.06108b.jpg
